Zeit,Wert
2020-01-01 00:00:00.000,300.0000
2020-01-01 00:00:00.001,301.2558
2020-01-01 00:00:00.002,302.5067
2020-01-01 00:00:00.003,303.7476
2020-01-01 00:00:00.004,304.9738
2020-01-01 00:00:00.005,306.1803
2020-01-01 00:00:00.006,307.3625
2020-01-01 00:00:00.007,308.5156
2020-01-01 00:00:00.008,309.6351
2020-01-01 00:00:00.009,310.7165
2020-01-01 00:00:00.010,311.7557
2020-01-01 00:00:00.011,312.7485
2020-01-01 00:00:00.012,313.6909
2020-01-01 00:00:00.013,314.5794
2020-01-01 00:00:00.014,315.4103
2020-01-01 00:00:00.015,316.1803
2020-01-01 00:00:00.016,316.8866
2020-01-01 00:00:00.017,317.5261
2020-01-01 00:00:00.018,318.0965
2020-01-01 00:00:00.019,318.5955
2020-01-01 00:00:00.020,319.0211
2020-01-01 00:00:00.021,319.3717
2020-01-01 00:00:00.022,319.6457
2020-01-01 00:00:00.023,319.8423
2020-01-01 00:00:00.024,319.9605
2020-01-01 00:00:00.025,320.0000
2020-01-01 00:00:00.026,319.9605
2020-01-01 00:00:00.027,319.8423
2020-01-01 00:00:00.028,319.6457
2020-01-01 00:00:00.029,319.3717
2020-01-01 00:00:00.030,319.0211
2020-01-01 00:00:00.031,318.5955
2020-01-01 00:00:00.032,318.0965
2020-01-01 00:00:00.033,317.5261
2020-01-01 00:00:00.034,316.8866
2020-01-01 00:00:00.035,316.1803
2020-01-01 00:00:00.036,315.4103
2020-01-01 00:00:00.037,314.5794
2020-01-01 00:00:00.038,313.6909
2020-01-01 00:00:00.039,312.7485
2020-01-01 00:00:00.040,311.7557
2020-01-01 00:00:00.041,310.7165
2020-01-01 00:00:00.042,309.6351
2020-01-01 00:00:00.043,308.5156
2020-01-01 00:00:00.044,307.3625
2020-01-01 00:00:00.045,306.1803
2020-01-01 00:00:00.046,304.9738
2020-01-01 00:00:00.047,303.7476
2020-01-01 00:00:00.048,302.5067
2020-01-01 00:00:00.049,301.2558
2020-01-01 00:00:00.050,300.0000
2020-01-01 00:00:00.051,298.7442
2020-01-01 00:00:00.052,297.4933
2020-01-01 00:00:00.053,296.2524
2020-01-01 00:00:00.054,295.0262
2020-01-01 00:00:00.055,293.8197
2020-01-01 00:00:00.056,292.6375
2020-01-01 00:00:00.057,291.4844
2020-01-01 00:00:00.058,290.3649
2020-01-01 00:00:00.059,289.2835
2020-01-01 00:00:00.060,288.2443
2020-01-01 00:00:00.061,287.2515
2020-01-01 00:00:00.062,286.3091
2020-01-01 00:00:00.063,285.4206
2020-01-01 00:00:00.064,284.5897
2020-01-01 00:00:00.065,283.8197
2020-01-01 00:00:00.066,283.1134
2020-01-01 00:00:00.067,282.4739
2020-01-01 00:00:00.068,281.9035
2020-01-01 00:00:00.069,281.4045
2020-01-01 00:00:00.070,280.9789
2020-01-01 00:00:00.071,280.6283
2020-01-01 00:00:00.072,280.3543
2020-01-01 00:00:00.073,280.1577
2020-01-01 00:00:00.074,280.0395
2020-01-01 00:00:00.075,280.0000
2020-01-01 00:00:00.076,280.0395
2020-01-01 00:00:00.077,280.1577
2020-01-01 00:00:00.078,280.3543
2020-01-01 00:00:00.079,280.6283
2020-01-01 00:00:00.080,280.9789
2020-01-01 00:00:00.081,281.4045
2020-01-01 00:00:00.082,281.9035
2020-01-01 00:00:00.083,282.4739
2020-01-01 00:00:00.084,283.1134
2020-01-01 00:00:00.085,283.8197
2020-01-01 00:00:00.086,284.5897
2020-01-01 00:00:00.087,285.4206
2020-01-01 00:00:00.088,286.3091
2020-01-01 00:00:00.089,287.2515
2020-01-01 00:00:00.090,288.2443
2020-01-01 00:00:00.091,289.2835
2020-01-01 00:00:00.092,290.3649
2020-01-01 00:00:00.093,291.4844
2020-01-01 00:00:00.094,292.6375
2020-01-01 00:00:00.095,293.8197
2020-01-01 00:00:00.096,295.0262
2020-01-01 00:00:00.097,296.2524
2020-01-01 00:00:00.098,297.4933
2020-01-01 00:00:00.099,298.7442
2020-01-01 00:00:00.100,300.0000
2020-01-01 00:00:00.101,301.2558
2020-01-01 00:00:00.102,302.5067
2020-01-01 00:00:00.103,303.7476
2020-01-01 00:00:00.104,304.9738
2020-01-01 00:00:00.105,306.1803
2020-01-01 00:00:00.106,307.3625
2020-01-01 00:00:00.107,308.5156
2020-01-01 00:00:00.108,309.6351
2020-01-01 00:00:00.109,310.7165
2020-01-01 00:00:00.110,311.7557
2020-01-01 00:00:00.111,312.7485
2020-01-01 00:00:00.112,313.6909
2020-01-01 00:00:00.113,314.5794
2020-01-01 00:00:00.114,315.4103
2020-01-01 00:00:00.115,316.1803
2020-01-01 00:00:00.116,316.8866
2020-01-01 00:00:00.117,317.5261
2020-01-01 00:00:00.118,318.0965
2020-01-01 00:00:00.119,318.5955
2020-01-01 00:00:00.120,319.0211
2020-01-01 00:00:00.121,319.3717
2020-01-01 00:00:00.122,319.6457
2020-01-01 00:00:00.123,319.8423
2020-01-01 00:00:00.124,319.9605
2020-01-01 00:00:00.125,320.0000
2020-01-01 00:00:00.126,319.9605
2020-01-01 00:00:00.127,319.8423
2020-01-01 00:00:00.128,319.6457
2020-01-01 00:00:00.129,319.3717
2020-01-01 00:00:00.130,319.0211
2020-01-01 00:00:00.131,318.5955
2020-01-01 00:00:00.132,318.0965
2020-01-01 00:00:00.133,317.5261
2020-01-01 00:00:00.134,316.8866
2020-01-01 00:00:00.135,316.1803
2020-01-01 00:00:00.136,315.4103
2020-01-01 00:00:00.137,314.5794
2020-01-01 00:00:00.138,313.6909
2020-01-01 00:00:00.139,312.7485
2020-01-01 00:00:00.140,311.7557
2020-01-01 00:00:00.141,310.7165
2020-01-01 00:00:00.142,309.6351
