Zeit,Wert
2020-01-01 00:00:00.000,40.2995
2020-01-01 00:00:00.001,40.4863
2020-01-01 00:00:00.002,40.6713
2020-01-01 00:00:00.003,40.8535
2020-01-01 00:00:00.004,41.0324
2020-01-01 00:00:00.005,41.2073
2020-01-01 00:00:00.006,41.3773
2020-01-01 00:00:00.007,41.5420
2020-01-01 00:00:00.008,41.7005
2020-01-01 00:00:00.009,41.8523
2020-01-01 00:00:00.010,41.9968
2020-01-01 00:00:00.011,42.1335
2020-01-01 00:00:00.012,42.2617
2020-01-01 00:00:00.013,42.3810
2020-01-01 00:00:00.014,42.4909
2020-01-01 00:00:00.015,42.5910
2020-01-01 00:00:00.016,42.6808
2020-01-01 00:00:00.017,42.7601
2020-01-01 00:00:00.018,42.8284
2020-01-01 00:00:00.019,42.8856
2020-01-01 00:00:00.020,42.9315
2020-01-01 00:00:00.021,42.9657
2020-01-01 00:00:00.022,42.9883
2020-01-01 00:00:00.023,42.9990
2020-01-01 00:00:00.024,42.9979
2020-01-01 00:00:00.025,42.9850
2020-01-01 00:00:00.026,42.9603
2020-01-01 00:00:00.027,42.9239
2020-01-01 00:00:00.028,42.8760
2020-01-01 00:00:00.029,42.8168
2020-01-01 00:00:00.030,42.7464
2020-01-01 00:00:00.031,42.6651
2020-01-01 00:00:00.032,42.5734
2020-01-01 00:00:00.033,42.4715
2020-01-01 00:00:00.034,42.3598
2020-01-01 00:00:00.035,42.2389
2020-01-01 00:00:00.036,42.1091
2020-01-01 00:00:00.037,41.9710
2020-01-01 00:00:00.038,41.8251
2020-01-01 00:00:00.039,41.6719
2020-01-01 00:00:00.040,41.5122
2020-01-01 00:00:00.041,41.3466
2020-01-01 00:00:00.042,41.1756
2020-01-01 00:00:00.043,41.0000
2020-01-01 00:00:00.044,40.8204
2020-01-01 00:00:00.045,40.6376
2020-01-01 00:00:00.046,40.4523
2020-01-01 00:00:00.047,40.2651
2020-01-01 00:00:00.048,40.0770
2020-01-01 00:00:00.049,39.8885
2020-01-01 00:00:00.050,39.7005
2020-01-01 00:00:00.051,39.5137
2020-01-01 00:00:00.052,39.3287
2020-01-01 00:00:00.053,39.1465
2020-01-01 00:00:00.054,38.9676
2020-01-01 00:00:00.055,38.7927
2020-01-01 00:00:00.056,38.6227
2020-01-01 00:00:00.057,38.4580
2020-01-01 00:00:00.058,38.2995
2020-01-01 00:00:00.059,38.1477
2020-01-01 00:00:00.060,38.0032
2020-01-01 00:00:00.061,37.8665
2020-01-01 00:00:00.062,37.7383
2020-01-01 00:00:00.063,37.6190
2020-01-01 00:00:00.064,37.5091
2020-01-01 00:00:00.065,37.4090
2020-01-01 00:00:00.066,37.3192
2020-01-01 00:00:00.067,37.2399
2020-01-01 00:00:00.068,37.1716
2020-01-01 00:00:00.069,37.1144
